Date,UserID,TweetID,TweetPol,DescPol,QuotePol,HashPol,RTUserID,QUserID,ReplyUserID,RTweetID
2018-05-14 22:48:35,1244620674,996160373287014401,-0.201,-0.292,0,0,None,None,987393387644030976,None
2018-05-15 12:56:31,221582596,996373763754201088,-0.201,0.0,0,0,None,None,24077102,None
2018-05-16 18:36:07,434511473,996821612124147713,-0.201,-0.175,0.0,0,None,None,None,None
2018-05-16 18:37:15,934403275180380160,996821901220737024,-0.201,-0.316,0.0,0,434511473,None,None,996821612124147713
2018-05-16 18:37:48,869995307454672896,996822036562489345,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 18:40:03,849333243891650560,996822605717008384,-0.201,0.127,0.0,0,434511473,None,None,996821612124147713
2018-05-16 18:40:37,913767575271755776,996822744531718144,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 18:46:33,21683323,996824240459583488,-0.201,0.25,0.0,0,434511473,None,None,996821612124147713
2018-05-16 18:46:34,4869962481,996824242690953219,-0.201,0.175,0.0,0,434511473,None,None,996821612124147713
2018-05-16 18:55:09,803632309425553408,996826404900753409,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 18:58:11,954607640478236672,996827165369946112,-0.201,0.158,0.0,0,434511473,None,None,996821612124147713
2018-05-16 19:10:41,988027314159185920,996830311802720257,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 19:14:19,770322163098320896,996831228258119680,-0.201,0.208,0.0,0,434511473,None,None,996821612124147713
2018-05-16 19:15:13,2510735496,996831454171672578,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 19:19:25,875684495793561601,996832509102092288,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 19:23:39,2227824736,996833574371385347,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 19:28:27,1870033076,996834783303892992,-0.201,0.211,0.0,0,434511473,None,None,996821612124147713
2018-05-16 19:28:33,833446857674211328,996834809526870017,-0.201,0.6,0.0,0,434511473,None,None,996821612124147713
2018-05-16 20:10:20,947546299825573888,996845325531930624,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-16 20:22:20,878961423229079553,996848342419279872,-0.201,-0.083,0.0,0,434511473,None,None,996821612124147713
2018-05-16 21:01:34,991413553184804865,996858216268095488,-0.201,0.0,0.0,0,434511473,None,None,996821612124147713
2018-05-14 19:36:35,841619016590462977,996112053654970368,-0.202,0.2,0,0,None,None,31801993,None
2018-05-15 02:15:05,1055949620,996212341250383872,-0.202,-0.108,0,0,None,None,None,None
2018-05-15 22:46:07,962892770376470529,996522142043787264,-0.202,0.0,0,0,None,None,50239585,None
2018-05-15 23:10:21,706221486722297856,996528240364740608,-0.202,0.085,0,0,None,None,920688893028073472,None
2018-05-16 09:59:52,426282667,996691694782427136,-0.202,0.05,0,0,1055949620,None,None,996212341250383872
2018-05-14 17:58:25,1655248590,996087350362017793,-0.203,0.587,0.3,0,None,None,None,None
2018-05-15 07:51:29,982850917744562177,996297000705441792,-0.203,0.0,0.05,0,None,None,None,None
2018-05-16 10:01:50,841273487859863553,996692191304175617,-0.203,0.3,0,0,None,None,3232277365,None
2018-05-16 11:45:16,728226853882875905,996718220106231808,-0.203,0.0,0,0,None,None,2913247409,None
2018-05-16 18:34:02,709245383344578560,996821088331067392,-0.203,0.0,0,0,None,None,598601483,None
2018-05-15 07:40:49,3025993509,996294314652323840,-0.204,0.0,0,0,None,None,725668883181371393,None
2018-05-15 18:39:50,29585629,996460160355880961,-0.204,0.0,0,0,None,None,None,None
2018-05-15 18:41:11,182840025,996460502749335552,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 18:41:16,22875784,996460520487227392,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 18:42:03,595981817,996460719116881920,-0.204,0.117,0,0,29585629,None,None,996460160355880961
2018-05-15 18:42:47,62965614,996460905595572225,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 18:42:50,3385838248,996460915586420738,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 18:43:00,168505436,996460958280245248,-0.204,0.5,0,0,29585629,None,None,996460160355880961
2018-05-15 18:45:06,801930401333669888,996461488683606016,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 18:46:23,930476534095400960,996461808029401088,-0.204,0.125,0,0,29585629,None,None,996460160355880961
2018-05-15 18:48:54,829514383034310657,996462441189068803,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 18:56:59,44260462,996464479121629184,-0.204,0.175,0,0,29585629,None,None,996460160355880961
2018-05-15 19:01:30,25828822,996465613097889792,-0.204,0.091,0,0,29585629,None,None,996460160355880961
2018-05-15 19:01:59,3961336036,996465737693847553,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:04:30,16342142,996466369012125696,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:05:59,3454876468,996466743508905984,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:07:05,20739133,996467017388580865,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:14:38,222675790,996468917391581190,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:20:24,207365153,996470368788451329,-0.204,0.1,0,0,29585629,None,None,996460160355880961
2018-05-15 19:29:12,2227755576,996472586648346626,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:31:22,277231533,996473129257127936,-0.204,0.18,0,0,29585629,None,None,996460160355880961
2018-05-15 19:31:53,2230463880,996473261449011200,-0.204,0.1,0,0,29585629,None,None,996460160355880961
2018-05-15 19:32:32,419252628,996473425152667649,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:34:51,828295472980828162,996474006193754112,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 19:41:53,15852223,996475776554930177,-0.204,0.7,0,0,29585629,None,None,996460160355880961
2018-05-15 19:57:25,2409414084,996479687013621761,-0.204,0.5,0,0,29585629,None,None,996460160355880961
2018-05-15 20:03:32,585810907,996481224150568960,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 20:06:15,95650867,996481907461369856,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 20:08:37,815946075249004544,996482503983747072,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 20:28:45,728110634743697408,996487569541083138,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 20:29:54,23140264,996487861544341504,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 20:39:57,1591011620,996490388939689984,-0.204,0.0,0,0,29585629,None,None,996460160355880961
2018-05-15 20:51:58,242930014,996493415012499456,-0.204,0.0,0,0,29585629,None,None,996460160355880961
